,volatility,momentum_1m,momentum_3m,momentum_6m,return_1y,max_drawdown,volume_avg,rsi_14,macd_signal,beta_market,pe_ratio,ecb_rate,us_10y_yield,vix,eur_usd,de_inflation,us_inflation,investment_decision
volatility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1555271459243114
momentum_1m,-0.08156354653204317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13587300667259983
momentum_3m,-0.1621118657025749,0.4877968366102743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042905839377290686
momentum_6m,-0.03493823364144788,0.023898296931702145,0.6111158560282575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006290902075922612
return_1y,-0.01806249597577786,0.0,0.03623760547057553,0.6282212745244784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04620753570000998
max_drawdown,-0.5612633205629528,-0.06150583525021164,-0.16701893847427945,-0.12318144791244026,0.2888049204324346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012033658353443298
volume_avg,0.16197924489231685,-0.011404359623719218,0.0,-0.034747254699846825,0.01160066435940596,-0.1004046281861488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013049319307517232
rsi_14,-0.04092099625095913,0.6737691428995858,0.20030455387264182,0.02374502885388953,-0.0036135722913946122,0.07680526044842716,-0.014968584481517947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006206921957698657
macd_signal,-0.08917072166955414,0.3782612113637105,0.3211843208958731,0.02914670111180377,0.04921257598546251,-0.008390922617216932,-0.11658531336348962,-0.06051836987080095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004990990394859759
beta_market,0.2063838362406658,0.022412851971897393,0.06606878949741489,-0.13782524498290813,0.28546013513373947,-0.21629621180395786,0.07882528009595693,-0.0769250333294732,0.005158740259504788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292453691962924
pe_ratio,0.0918960071073794,0.029769687936438596,0.028300399166440594,0.01457964357938096,0.07450591761298661,-0.004985171637418898,0.0034856860468442117,-0.031175230961783974,-0.017078600355405055,0.06385882321638103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010992759430669739
ecb_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
us_10y_yield,-0.03118958553169137,0.0,-0.015165386618821722,0.014786495261315561,0.009260949327649783,-0.03610831714872628,-0.004566004780554605,0.09373443773770015,-0.03443714385067378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025922430024416947
vix,0.606720932542949,-0.03223163349968555,-0.010706417328127438,0.04274794514197336,-0.04053105920155314,-0.15841676182858236,-0.0391988147776101,-0.13361484494291717,0.07334050529392003,-0.21078972769415982,-0.045929487155890666,0.0,-0.04919456391506136,0.0,0.0,0.0,0.0,-0.0630050308870033
eur_usd,-0.1720571076957918,0.042692329112559414,0.05273275463006401,0.13708716998962975,0.08379434137388023,-0.06778710472322871,0.012835061872924245,-0.1343389243731034,0.0,-0.05934424157557359,0.0,0.0,0.09957429113065958,0.113800101503979,0.0,0.0,0.0,-0.012896741706275644
de_inflation,-0.012834962463883229,0.005630621895330127,-0.012709325980555903,0.025939540683738816,0.0,-0.02327612915977827,0.0,0.0,0.0,0.0,0.0,0.0,0.037742604485942535,0.0,0.03303100861060479,0.0,0.0,0.0
us_inflation,-0.02490448371966464,0.055200010002353715,0.020281468110110324,0.0,0.0,-0.025824130886037803,0.0,-0.04569877047001243,0.0,0.0,0.0,0.0,0.04768418099775927,-0.013696881089049193,0.025750323584022586,0.27936279478423603,0.0,0.0
investment_decision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
