feature,Nec,Suf,Nesuf,maxNesuf
momentum_1m,0.8652021104482536,0.8034645897806598,0.7114475392380162,0.7641204201336855
vix,0.9014840942859674,0.589582143530246,0.5696765427851344,0.7582375760878504
momentum_3m,0.8104285301010642,0.7459670373607232,0.6231204510843695,0.6690420602460337
macd_signal,0.8209697376962346,0.5454941624382518,0.486061209064719,0.5699339892490476
beta_market,0.665554904963318,0.46438741440643344,0.3443619233104497,0.5466862837630759
de_inflation,0.873388528456867,0.4331767289935524,0.4353447988145751,0.5264203656199632
momentum_6m,0.6915988374417195,0.6062791291717036,0.4568388920928676,0.5204641241758765
return_1y,0.725920379951265,0.6374589597226052,0.47283574514796306,0.4812306668240144
max_drawdown,0.8342402051931386,0.5156143469625859,0.45813094691586964,0.45956805651704186
rsi_14,0.741475689130358,0.43672917671683914,0.3689032597386097,0.45323781743868996
volatility,0.7070226825575093,0.46407292730369004,0.37618689165556696,0.41690141491712845
us_inflation,0.6514373057649181,0.3440714671254819,0.2899574224682078,0.4122234172396708
eur_usd,0.6689368483275173,0.4042727710034043,0.27601732114114585,0.39237988015494707
pe_ratio,0.6124844548784624,0.5366792762365054,0.3617940350935138,0.38391104728431186
us_10y_yield,0.6121277483275428,0.3692895608165503,0.2621125170675612,0.3768018221941612
volume_avg,0.6232548612753853,0.34520990393628503,0.2884660759413244,0.3428440375944382
ecb_rate,0.0,0.0,0.0,0.0
