feature,shap_mean,lewis_causal,lewis_no_graph,rank_shap,rank_lewis,rank_abs_diff,spearman_rank_corr,spearman_pvalue
ecb_rate,0.7416155684593395,0.0,0.0,1.0,17.0,16.0,0.13725490196078433,0.5993690521648235
de_inflation,0.1444368527880801,0.5264203656199632,0.4353655424373078,17.0,6.0,11.0,0.13725490196078433,0.5993690521648235
us_inflation,0.7409041359924764,0.4122234172396708,0.4122234172396708,2.0,12.0,10.0,0.13725490196078433,0.5993690521648235
volatility,0.6216428611847199,0.4169014149171284,0.4168580432372483,4.0,11.0,7.0,0.13725490196078433,0.5993690521648235
vix,0.4466506612525084,0.7582375760878504,0.7467483620742382,8.0,2.0,6.0,0.13725490196078433,0.5993690521648235
momentum_3m,0.4426122837276058,0.6690420602460337,0.6687669999616902,9.0,3.0,6.0,0.13725490196078433,0.5993690521648235
rsi_14,0.6058076800344138,0.4532378174386899,0.483577661549553,5.0,10.0,5.0,0.13725490196078433,0.5993690521648235
max_drawdown,0.2960972208703407,0.4595680565170418,0.4581845096985596,14.0,9.0,5.0,0.13725490196078433,0.5993690521648235
us_10y_yield,0.3968680432032768,0.3768018221941612,0.400285610274148,11.0,15.0,4.0,0.13725490196078433,0.5993690521648235
return_1y,0.326581842535545,0.4812306668240144,0.477876328427375,12.0,8.0,4.0,0.13725490196078433,0.5993690521648235
momentum_6m,0.4360611643086,0.5204641241758765,0.52001028281628,10.0,7.0,3.0,0.13725490196078433,0.5993690521648235
macd_signal,0.4735598314171469,0.5699339892490476,0.5942010386497554,7.0,4.0,3.0,0.13725490196078433,0.5993690521648235
momentum_1m,0.7303522243894977,0.7641204201336855,0.7637672820664647,3.0,1.0,2.0,0.13725490196078433,0.5993690521648235
beta_market,0.6056889206777291,0.5466862837630759,0.5375020386440088,6.0,5.0,1.0,0.13725490196078433,0.5993690521648235
pe_ratio,0.2645329714364769,0.3839110472843118,0.3840693407864712,15.0,14.0,1.0,0.13725490196078433,0.5993690521648235
eur_usd,0.2996864567458906,0.392379880154947,0.3915631959434411,13.0,13.0,0.0,0.13725490196078433,0.5993690521648235
volume_avg,0.1821612301022233,0.3428440375944382,0.357677748776573,16.0,16.0,0.0,0.13725490196078433,0.5993690521648235
