window_start,window_end,accuracy
2023-01-23,2023-07-23,0.3877735168057749
2023-02-23,2023-08-23,0.39512116576765155
2023-03-23,2023-09-23,0.3927299773701951
2023-04-23,2023-10-23,0.3952462124229342
2023-05-23,2023-11-23,0.38989955969225465
2023-06-23,2023-12-23,0.3999529854254819
2023-07-23,2024-01-23,0.39192115402986977
2023-08-23,2024-02-23,0.3803986446717465
2023-09-23,2024-03-23,0.39592020014112517
2023-10-23,2024-04-23,0.3997529913707375
2023-11-23,2024-05-23,0.4111321334432963
2023-12-23,2024-06-23,0.4032121449048736
2024-01-23,2024-07-23,0.4034787065361885
2024-02-23,2024-08-23,0.4096335744376441
2024-03-23,2024-09-23,0.40132927610506086
2024-04-23,2024-10-23,0.3881652517679671
2024-05-23,2024-11-23,0.37063581287864594
2024-06-23,2024-12-23,0.3827413084877005
2024-07-23,2025-01-23,0.38328785570006024
2024-08-23,2025-02-23,0.3753920064055515
2024-09-23,2025-03-23,0.37456720176266917
2024-10-23,2025-04-23,0.3905290850628471
2024-11-23,2025-05-23,0.4429179722021371
2024-12-23,2025-06-23,0.3993127147766323
